,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
80,Thiago Silva,Chelsea,Defender,757,9,0,1,71.7,,65.0,9.0,4.0,5.0,17.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,,,,,,,,7.0,1.0,2.0,0.14285714285714285,4.0,93.1,607.0,571.0,100.0,2.0,2.0,17.0
81,De Bruyne,Man. City,Midfielder,734,10,2,4,95.5,,11.0,6.0,0.0,6.0,2.0,18.0,0.0,14.0,9.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,24.0,7.0,9.0,0.2916666666666667,8.0,82.6,397.0,334.0,26.0,41.0,11.0,18.0
82,Škriniar,Inter,Defender,720,8,1,0,85.1,,38.0,11.0,6.0,5.0,26.0,,,,5.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,6.0,0.3,1.0,91.4,451.0,416.0,50.0,4.0,2.0,11.0
83,Kristensen,Salzburg,Defender,720,8,0,1,85.5,,36.0,18.0,8.0,10.0,27.0,0.0,2.0,12.0,14.0,4.0,1.0,0.0,,,,,,,,10.0,2.0,5.0,0.2,3.0,65.8,282.0,191.0,0.0,12.0,0.0,1.0
84,Martínez,Ajax,Defender,720,8,0,1,83.3,,53.0,10.0,2.0,8.0,19.0,0.0,0.0,3.0,7.0,7.0,1.0,0.0,,,,,,,,6.0,2.0,4.0,0.3333333333333333,0.0,94.1,674.0,633.0,0.0,0.0,0.0,12.0
85,Marquinhos,Paris,Defender,720,8,0,1,78.5,,42.0,2.0,2.0,0.0,36.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,92.5,509.0,475.0,0.0,0.0,0.0,16.0
86,Fonte,LOSC,Defender,720,8,0,0,81.3,,47.0,13.0,9.0,4.0,29.0,,,,6.0,5.0,3.0,0.0,,,,,,,,3.0,0.0,2.0,0.0,1.0,88.5,369.0,328.0,0.0,0.0,0.0,14.0
87,Köhn,Salzburg,Goalkeeper,720,8,0,0,43.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,73.4,220.0,156.0,0.0,0.0,0.0,25.0
88,Handanovič,Inter,Goalkeeper,720,8,0,0,32.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,91.6,253.0,230.0,0.0,0.0,0.0,7.0
89,Hakimi,Paris,Defender,718,8,0,0,85.3,,36.0,7.0,1.0,6.0,11.0,,,,3.0,7.0,2.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,90.4,417.0,378.0,10.0,10.0,1.0,5.0
90,Ulmer,Salzburg,Defender,716,8,0,0,84.2,,41.0,6.0,2.0,4.0,20.0,,,,13.0,2.0,2.0,0.0,,,,,,,,5.0,2.0,1.0,0.4,2.0,66.9,277.0,187.0,0.0,16.0,0.0,5.0
